student,currProb,course,session,priorTutorAction,reward,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime,cumul_F1Score,CurrPro_avgProbTimeDeviationPS,cumul_BlankRatio,BDActionCount,UseWindowInfo,cumul_difficultProblemCountSolved
0144-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,1,0,0,0
0144-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-71.05263158,0,1,0,0,1,0,0,0
014c-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
014c-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0.0,1,0,1,0,1,0,0,0
014c-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0,1,1,1,1,1,0,0,0
014c-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,0,1,1,0,1,0,0,0
014c-F14,2.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
014c-F14,2.1.2.0,226-001-BARNES-F14,1,PS,0.0,1,0,1,1,1,0,0,1
014c-F14,2.1.3.0,226-001-BARNES-F14,1,PS,-11.71384343,0,1,1,0,1,0,0,1
014c-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,0,0,0,0
014c-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,1,0,0,0,0
014c-F14,3.1.3.0,226-001-BARNES-F14,1,PS,0.0,0,1,0,0,0,0,0,1
014c-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,0,0,0,1
014c-F14,3.-1.1.1,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,1
014c-F14,3.-1.4.0,226-001-BARNES-F14,1,PS,-70.39431157,0,0,0,0,0,0,0,1
014c-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,1,0,0,0,0,1
014c-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,1,1,1,0,0,1
014c-F14,4.1.3.0,226-001-BARNES-F14,1,PS,87.56868132,0,1,1,1,0,0,0,1
014c-F14,5.1.1.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,1,0,0,0
014c-F14,5.1.2.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,0,0,0,0,0
014c-F14,5.1.3.0,226-001-BARNES-F14,1,PS,0.0,0,1,0,1,0,0,0,0
014c-F14,5.-1.2.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,0
014c-F14,5.-1.2.1,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,0
014c-F14,5.-1.3.0,226-001-BARNES-F14,1,PS,0.0,0,0,1,0,0,0,0,0
014c-F14,5.-1.4.0,226-001-BARNES-F14,1,PS,-86.25,0,1,1,0,0,0,0,0
014c-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,0,0,0,0,0
